"model","min","median","max","n_abs_gt_2","n_abs_gt_3"
"Clinical Cox",-3.06463736446884,0.389028261666114,2.46554058626698,26,1
"Selected-gene Cox",-2.80923220753132,0.0866126400315832,2.88483519874776,32,0
