"model","logLik","LR","df","AIC","p_value"
"NYHA x t",-2077.95102735952,14.2765930045825,3,4187.90205471904,0.00255184508904281
"NYHA x log(t)",-2076.64469102683,16.8892656699736,3,4185.28938205365,0.000744785579260831
"NYHA x log(1+t)",-2076.64470235349,16.8892430166488,3,4185.28940470698,0.00074479356641878
