"model","mean_abs_difference","max_abs_difference"
"AFT Exponential",0.0913823382824264,0.450071608417861
"AFT Log-logistic",0.0365750543399861,0.334571964664554
"AFT Log-normal",0.0276921978767125,0.264287140603701
"AFT Weibull",0.0749975975000687,0.377471593635435
"Clinical Cox",0.0402413450006545,0.170887059133175
"RP time-varying NYHA",0.0288330122427359,0.251913250003844
"Selected-gene Cox",0.0358399378708674,0.264288258562269
