"term","coef","hazard_ratio","lower_95","upper_95","p_value"
"nyha_nominalII",0.95993193673066,2.61151871887196,1.89677526962776,3.59559201779188,4.01485019616756e-09
"nyha_nominalIII",1.77919166309964,5.92506503362168,4.23966042559241,8.28047346450884,2.04203674423137e-25
"nyha_nominalIV",2.57366057357164,13.1137404991975,8.72503137253701,19.7099795447829,3.36664078380683e-35
"age",0.061044201917084,1.06294589739524,1.05189272584941,1.07411521443596,2.46612218110312e-30
"genderMale",0.457197742337812,1.57964121531471,1.28010418240392,1.94926819505818,2.02696625147767e-05
"bmi",0.00561840351636434,1.00563421634582,0.986590632119688,1.02504538778428,0.564628653072519
"smokingFormer",0.0646270503749133,1.06676110203325,0.846539636401627,1.3442716677135,0.58382487560553
"smokingCurrent",0.174118546371135,1.19019665095154,0.908136584160197,1.55986235181378,0.207053188245976
"diabetesYes",0.828086628462958,2.28893496469431,1.8255467146256,2.86994752345992,7.23447985341879e-13
"ejection_fraction",-0.0368130464286111,0.963856314886298,0.956258616893324,0.971514378363853,7.70707727928476e-20
"ns(log(creatinine), df = 2)1",0.85657337375888,2.3550768832691,1.48125211452866,3.74439102682622,0.000293840253543336
"ns(log(creatinine), df = 2)2",1.69542565662002,5.44896485961618,2.53831996080276,11.6971928282603,1.36212979414844e-05
"sodium",-0.0702991604446697,0.932114926275229,0.908272717494229,0.956582994347836,1.05207925914384e-07
"GENE_001",1.25656746342511,3.51334109422499,3.05202203632719,4.04438942361777,1.53016866369337e-68
"GENE_002",-0.817906453393142,0.441354684567938,0.390920170493286,0.498296000803084,7.60399836494933e-40
"GENE_005",0.613997148102868,1.84780259772843,1.6534120876457,2.06504746498719,2.58299700408766e-27
"GENE_024",0.134201803770254,1.1436235839103,1.02774735966194,1.27256459418786,0.0138131246795122
