"linear_predictor","residual","model"
1.88973571007678,1.80818744533066,"Clinical Cox"
0.909620997409836,-0.0589353864159802,"Clinical Cox"
1.36186494334051,0.416028210380637,"Clinical Cox"
1.83294168292801,-0.1360179970168,"Clinical Cox"
0.843343586639033,1.82276827713252,"Clinical Cox"
0.276375185258166,-1.22248839587771,"Clinical Cox"
1.31546285293026,0.361339675763572,"Clinical Cox"
1.38614124674646,1.53149685743701,"Clinical Cox"
1.22695840071847,0.0598856153796485,"Clinical Cox"
0.186776065090173,0.745092200810594,"Clinical Cox"
0.116320265634068,0.379781592832469,"Clinical Cox"
1.75892141909941,-0.254440938155902,"Clinical Cox"
0.877311751433857,0.965413955860361,"Clinical Cox"
2.0054329422899,0.58276794222696,"Clinical Cox"
1.0106778493494,1.48942590654962,"Clinical Cox"
1.37992706358083,1.53502604906344,"Clinical Cox"
2.01030326882288,0.835615352500925,"Clinical Cox"
0.554403140595014,-0.386399176836111,"Clinical Cox"
1.89181237488336,-0.19821112304393,"Clinical Cox"
-0.392289434912237,1.55925612472201,"Clinical Cox"
0.556903794006205,-1.34432508666484,"Clinical Cox"
0.160273742173119,-1.29078001279171,"Clinical Cox"
1.72693432657475,-1.26654261707298,"Clinical Cox"
0.880784406436068,-0.197006534591472,"Clinical Cox"
1.0690973807744,1.25481540469418,"Clinical Cox"
2.14049687388656,-1.2224740504528,"Clinical Cox"
1.04131680230024,-0.0763648578745353,"Clinical Cox"
0.875946182563867,0.487316146309085,"Clinical Cox"
0.912086575009011,0.0337089266987695,"Clinical Cox"
0.787864012609038,0.648596003454991,"Clinical Cox"
1.61683864330689,1.94378733718407,"Clinical Cox"
0.282026153170302,0.358836040020403,"Clinical Cox"
1.28354901162936,1.58914728488705,"Clinical Cox"
0.499698988199422,-1.64994200498823,"Clinical Cox"
1.83275683241718,0.964374238386024,"Clinical Cox"
1.70628788268551,0.596691215979585,"Clinical Cox"
1.50736587797904,0.374785702957189,"Clinical Cox"
0.239154707453788,-1.11338926738779,"Clinical Cox"
-0.187789314930467,-0.833297304947532,"Clinical Cox"
0.673970740962547,0.616858257973597,"Clinical Cox"
1.97753888935606,1.76299844327569,"Clinical Cox"
1.5711075329706,-0.905115176557439,"Clinical Cox"
-0.288654117678434,1.39155063657194,"Clinical Cox"
1.4571323535409,1.49082987679358,"Clinical Cox"
1.06281888356653,-1.50429997478599,"Clinical Cox"
1.62738921066119,-1.09034449534257,"Clinical Cox"
1.58269706812532,0.695223134613506,"Clinical Cox"
0.951347608498589,1.1486603318484,"Clinical Cox"
2.14771788340845,-1.23290743050927,"Clinical Cox"
1.35087603903551,-2.37208879277862,"Clinical Cox"
-0.395022016615876,1.31786494423036,"Clinical Cox"
1.89248725374671,0.257459584346405,"Clinical Cox"
-0.7265881886121,-0.696463219249389,"Clinical Cox"
0.558129675215449,-1.69885667776153,"Clinical Cox"
0.0415984643399563,0.88277552732735,"Clinical Cox"
-0.2463802951181,-0.89964957575497,"Clinical Cox"
0.0171359540666498,0.843871411428331,"Clinical Cox"
1.03967908156081,-1.5626880280339,"Clinical Cox"
0.7219277160386,0.26423803671103,"Clinical Cox"
1.53045519440718,-0.126808863910398,"Clinical Cox"
1.08270931780472,1.44746840086086,"Clinical Cox"
0.431851990540224,1.26296966096425,"Clinical Cox"
1.08962447470142,0.469976564601222,"Clinical Cox"
1.94439894229023,0.63212057235365,"Clinical Cox"
1.41177581646458,0.457596349325163,"Clinical Cox"
0.713316700011479,-1.4307691247896,"Clinical Cox"
1.22159963889703,2.12844071558087,"Clinical Cox"
1.84643816898811,1.83018237998858,"Clinical Cox"
0.963305077599184,0.412540690515359,"Clinical Cox"
0.282496937954085,-1.171973013406,"Clinical Cox"
1.40536959631391,0.671717272643793,"Clinical Cox"
1.01658734154756,0.297316764166371,"Clinical Cox"
0.715731267315653,0.656037738318281,"Clinical Cox"
1.4697691689902,2.01402797615183,"Clinical Cox"
1.41571790273754,-0.087581405674628,"Clinical Cox"
1.56348386825106,-0.744447707899553,"Clinical Cox"
-0.284187404940393,0.660842508110195,"Clinical Cox"
0.593402072880998,0.5463585140572,"Clinical Cox"
1.81877304553228,0.730972288410183,"Clinical Cox"
1.63467276735753,1.38620493990405,"Clinical Cox"
1.05334783980296,0.747751196634492,"Clinical Cox"
0.379454902730371,1.5006979963394,"Clinical Cox"
1.43992829356462,-0.838444313480178,"Clinical Cox"
1.08638065480638,0.556738720873433,"Clinical Cox"
0.306025127222491,1.1331512479403,"Clinical Cox"
1.17142688444699,0.324822402416453,"Clinical Cox"
0.462251728967818,1.02736672372091,"Clinical Cox"
1.05895581888619,1.07669514608616,"Clinical Cox"
0.246938525148243,0.589916927651133,"Clinical Cox"
1.4806148531854,0.211591205686255,"Clinical Cox"
0.89278922250753,1.04870767040411,"Clinical Cox"
1.37178462560331,1.27181647750485,"Clinical Cox"
1.10243761426108,-1.58843407556301,"Clinical Cox"
1.64155365950745,1.9317950429465,"Clinical Cox"
0.076303850027613,1.34861596745917,"Clinical Cox"
1.11030515785698,-2.10325358838859,"Clinical Cox"
0.896017628098483,1.79590768003052,"Clinical Cox"
0.678250333625745,0.414845949590185,"Clinical Cox"
1.55270062135969,-0.461796308029212,"Clinical Cox"
0.426240050748104,1.63255796866385,"Clinical Cox"
0.383194846102251,-1.26259086199705,"Clinical Cox"
0.959092883032937,2.24430902645064,"Clinical Cox"
-0.181099726766461,-1.01055279958678,"Clinical Cox"
1.4870837911061,-1.95445188442172,"Clinical Cox"
1.92651273651603,-0.235463281273654,"Clinical Cox"
1.77926962090368,1.86393668765652,"Clinical Cox"
0.667722929901996,0.596088292961868,"Clinical Cox"
0.532265019665916,1.5739702162684,"Clinical Cox"
0.589134250653864,2.39957007497676,"Clinical Cox"
0.452724107436739,0.660274498616124,"Clinical Cox"
1.63165513647084,-0.119146678377462,"Clinical Cox"
1.14994771768029,-1.72585124749463,"Clinical Cox"
2.41679876339276,-3.06463736446884,"Clinical Cox"
0.677227787108248,0.339492401421191,"Clinical Cox"
1.59636967799194,1.95367760805107,"Clinical Cox"
1.73598801898526,1.88545563983445,"Clinical Cox"
0.573270926239861,-1.37977467915694,"Clinical Cox"
2.23809591722072,-0.0776017645411374,"Clinical Cox"
1.59892611596218,-0.43376323664762,"Clinical Cox"
1.23784521780543,-0.306774534024316,"Clinical Cox"
1.16360735334642,1.65494026807127,"Clinical Cox"
1.6553194669121,1.08705332630859,"Clinical Cox"
1.66425496551755,-2.58469612403378,"Clinical Cox"
1.63361535530031,0.368667675548705,"Clinical Cox"
1.88363588068688,0.680383371754717,"Clinical Cox"
2.05242767082555,-1.00050166961827,"Clinical Cox"
2.17662856223017,1.65748945238696,"Clinical Cox"
1.60710268212598,1.40273496753686,"Clinical Cox"
0.869454901178182,1.20212054243772,"Clinical Cox"
0.862785626119158,1.06919207174976,"Clinical Cox"
-0.423355303711976,1.08659517244818,"Clinical Cox"
0.293873098141198,1.42975805430768,"Clinical Cox"
1.25772224677826,0.0295789565536401,"Clinical Cox"
0.563045314850713,1.09985474746245,"Clinical Cox"
-0.175433544834653,-0.809937206435181,"Clinical Cox"
0.438470249677831,-0.0186182211576032,"Clinical Cox"
1.27189304728721,-1.86596421926822,"Clinical Cox"
1.51177195041892,-1.02669079980795,"Clinical Cox"
2.53828201985213,0.411782078275467,"Clinical Cox"
0.878256772863812,-1.44151735704061,"Clinical Cox"
1.41801407641593,-0.673568050748355,"Clinical Cox"
0.639525276854723,-1.36014871349455,"Clinical Cox"
0.531828495980598,0.638040025697107,"Clinical Cox"
0.75623286881467,-1.33595487731736,"Clinical Cox"
0.247848290705767,-1.45472196069326,"Clinical Cox"
0.57934720249211,-1.34483727658882,"Clinical Cox"
0.445294745616706,0.320848025587279,"Clinical Cox"
0.979879680058697,-0.131438166458336,"Clinical Cox"
1.86431564094294,0.465323953267066,"Clinical Cox"
1.95876619669965,-0.153753958263162,"Clinical Cox"
0.869726095808357,-1.35222835336993,"Clinical Cox"
0.453029002200468,-1.25025620854402,"Clinical Cox"
0.519426626416465,-1.43442014016589,"Clinical Cox"
1.10728569764705,1.68526125918275,"Clinical Cox"
0.631155254223198,-1.76203302776735,"Clinical Cox"
1.5208488046822,-2.22998047263172,"Clinical Cox"
1.27497436896983,-0.773576904943868,"Clinical Cox"
1.4424797931391,-1.99767987227309,"Clinical Cox"
1.55567745927979,-0.465249793114561,"Clinical Cox"
1.15146766793988,-0.212766584601227,"Clinical Cox"
0.574695124880015,-1.6091087544803,"Clinical Cox"
1.35937006757041,-0.972884667617801,"Clinical Cox"
2.15990689879239,-0.136547617024969,"Clinical Cox"
0.410637025090616,1.06279313678,"Clinical Cox"
2.20334819929517,-1.07992966753137,"Clinical Cox"
1.38885834313675,2.05188028633333,"Clinical Cox"
1.70336121268152,-0.79859254912795,"Clinical Cox"
1.11394993129896,0.128791038329721,"Clinical Cox"
1.36973108202145,1.27310760261555,"Clinical Cox"
0.231635608962435,1.90407262410908,"Clinical Cox"
0.45518093905439,0.498129639399851,"Clinical Cox"
2.09799664816056,1.69968109874133,"Clinical Cox"
0.872314429670667,0.028569124157253,"Clinical Cox"
0.831185488792647,-1.40798645399306,"Clinical Cox"
1.07296102600608,0.484102488909337,"Clinical Cox"
1.1819431540772,0.740602577168695,"Clinical Cox"
1.20900509704211,-0.153204369552929,"Clinical Cox"
0.081587477279375,1.47500800609094,"Clinical Cox"
1.92231751556406,0.415506670310929,"Clinical Cox"
0.805519769891343,0.546169589349315,"Clinical Cox"
0.64659625122943,-1.64609851438855,"Clinical Cox"
